Раздел,Поле,Текст,Подсказка,Лимит
Старт,Название страницы,ПРАНТЕ — прототип Telegram-бота,Показывается в заголовке вкладки браузера.,80
Старт,Название бота,ПРАНТЕ,Короткое имя в шапке чата.,20
Старт,Статус: ожидание,готов к работе,Подпись под названием бота до начала работы.,28
Старт,Статус: работа,разбирает документ,Подпись под названием бота во время анализа.,28
Старт,Статус: готово,разбор готов,Подпись под названием бота после анализа.,28
Старт,Дата в чате,Сегодня,Обычно «Сегодня».,20
Старт,Стартовое сообщение,"Я помогу подготовить текст к переводу: найду повторы, выделю термины, покажу риски стиля и соберу черновик с учётом глоссария.",Не начинайте с «Здравствуйте»: приветствие уже добавляется отдельно.,180
Старт,Подсказка старта,Можно отправить текст сообщением или загрузить документ.,Курсив под первым сообщением.,120
Стартовые кнопки,Кнопка 1,Загрузить документ,Короткая подпись inline-кнопки.,26
Стартовые кнопки,Кнопка 2,Вставить текст,Короткая подпись inline-кнопки.,26
Стартовые кнопки,Кнопка 3,Открыть глоссарий,Короткая подпись inline-кнопки.,26
Стартовые кнопки,Кнопка 4,Показать пример,Короткая подпись inline-кнопки.,26
Сценарий,Сообщение пользователя,Загружаю договор. Нужен предпереводческий разбор и черновик на русском.,Первый запрос пользователя.,130
Сценарий,Название файла,Договор на оказание услуг,Заголовок документа в пузыре файла.,42
Сценарий,Описание файла,12 страниц · английский → русский,Страницы и языковая пара.,60
Ход работы,Шаг 1: название,Структура документа,Название строки прогресса.,34
Ход работы,Шаг 1: деталь,"12 страниц, 4 280 слов",Результат после выполнения шага.,56
Ход работы,Шаг 2: название,Повторы,Название строки прогресса.,34
Ход работы,Шаг 2: деталь,23 совпадения для проверки,Результат после выполнения шага.,56
Ход работы,Шаг 3: название,Термины-кандидаты,Название строки прогресса.,34
Ход работы,Шаг 3: деталь,"17 терминов, 6 стоит закрепить",Результат после выполнения шага.,56
Ход работы,Шаг 4: название,Стиль и читабельность,Название строки прогресса.,34
Ход работы,Шаг 4: деталь,3 места требуют внимания,Результат после выполнения шага.,56
Ход работы,Шаг 5: название,Черновик с глоссарием,Название строки прогресса.,34
Ход работы,Шаг 5: деталь,готовлю после подтверждения терминов,Результат после выполнения шага.,56
Отчёт,Заголовок отчёта,Краткий отчёт,Заголовок в сообщении отчёта.,40
Отчёт,Метрика 1: число,23,Например: 23.,8
Отчёт,Метрика 1: подпись,повтора,Например: повтора.,32
Отчёт,Метрика 2: число,17,Например: 17.,8
Отчёт,Метрика 2: подпись,терминов,Например: терминов.,32
Отчёт,Метрика 3: число,3,Например: 3.,8
Отчёт,Метрика 3: подпись,риска стиля,Например: риска стиля.,32
Отчёт,Резюме отчёта,"Текст техническо-юридический, стиль должен оставаться нейтральным и точным.",Первый абзац отчёта.,180
Отчёт,Заголовок рисков,Основные риски,Заголовок перед списком рисков.,40
Отчёт,Риск 1,разные варианты одного термина,Короткий пункт списка.,70
Отчёт,Риск 2,длинные предложения,Короткий пункт списка.,70
Отчёт,Риск 3,неоднозначность обязательств,Короткий пункт списка.,70
Отчёт,Заголовок терминов,Термины-кандидаты для глоссария,Заголовок перед глоссарием в отчёте.,50
Отчёт,Кнопка отчёта 1,Принять термины,Кнопка под отчётом.,26
Отчёт,Кнопка отчёта 2,Показать риски,Кнопка под отчётом.,26
Отчёт,Кнопка отчёта 3,Сделать черновик,Кнопка под отчётом.,26
Глоссарий,Термин 1: исходный,scope of work,Исходный термин.,42
Глоссарий,Термин 1: перевод,объём работ,Рекомендуемый перевод.,42
Глоссарий,Термин 1: примечание,использовать в этом проекте,Короткая подсказка.,70
Глоссарий,Термин 2: исходный,deliverables,Исходный термин.,42
Глоссарий,Термин 2: перевод,результаты работ,Рекомендуемый перевод.,42
Глоссарий,Термин 2: примечание,не переводить как «поставки»,Короткая подсказка.,70
Глоссарий,Термин 3: исходный,liability cap,Исходный термин.,42
Глоссарий,Термин 3: перевод,предел ответственности,Рекомендуемый перевод.,42
Глоссарий,Термин 3: примечание,проверить в юридическом контексте,Короткая подсказка.,70
Черновик,Действие: принять термины,Принять предложенные термины,Сообщение пользователя после отчёта.,50
Черновик,Ответ после глоссария,"Глоссарий обновлён. Применю эти варианты в черновике и отмечу места, где нужна ручная проверка.",Ответ бота после подтверждения терминов.,180
Черновик,Действие: сделать черновик,Сделать черновик,Сообщение пользователя.,42
Черновик,Заголовок черновика,Черновик готов,Заголовок сообщения с черновиком.,40
Черновик,Текст черновика,Я применил глоссарий и сохранил структуру исходного текста. Четыре фрагмента требуют проверки переводчиком.,Краткое описание результата.,180
Черновик,Предупреждение черновика,4 фрагмента требуют ручной проверки.,Курсивная строка под текстом черновика.,70
Память,Правка пользователя,В первом пункте заменить «объём услуг» на «объём работ».,Сообщение с правкой черновика.,120
Память,Заголовок памяти,Запомнить правку?,Заголовок предложения сохранить правило.,40
Память,Правило: исходный термин,scope of work,Левая часть правила памяти.,60
Память,Правило: перевод,объём работ,Правая часть правила памяти.,60
Память,Текст памяти,Можно сохранить «scope of work → объём работ» как правило этого проекта. Я буду применять его только после вашего подтверждения.,Почему стоит сохранить правило.,180
Память,Кнопка памяти 1,Сохранить,Кнопка сохранения.,28
Память,Кнопка памяти 2,Только для этого текста,Кнопка одноразового использования.,28
Память,Кнопка памяти 3,Не сохранять,Кнопка отказа.,28
Финал,Действие: сохранить,Сохранить как правило проекта,Сообщение пользователя перед финалом.,60
Финал,Финальный заголовок,Готово,Заголовок финального сообщения.,36
Финал,Финальный текст,В проектной памяти сохранён один термин и одно правило. В следующем документе ПРАНТЕ предложит их до подготовки черновика.,Последнее сообщение бота.,180
Управление демо,Кнопка движения,Меньше движения,Подпись/смысл кнопки управления анимацией.,26
Управление демо,Кнопка финала,Показать итог,Переход сразу к финалу.,26
Управление демо,Кнопка перезапуска,Повторить,Перезапуск сценария.,26
